,DP05_0001E,state,county,tract,DP02_0001E,DP03_0062E,DP03_0063E,DP03_0119E
0,4284,17,031,010100,2322,68196,80246,-888888888
1,8210,17,031,010201,3028,61071,72634,-888888888
2,2865,17,031,010202,1223,58698,72545,-888888888
3,6237,17,031,010300,3047,68336,84059,-888888888
4,4473,17,031,010400,2058,48630,64396,-888888888
5,3913,17,031,010501,2417,47858,67082,-888888888
6,3407,17,031,010502,1582,55813,74277,-888888888
7,2417,17,031,010503,1315,18750,40976,-888888888
8,6379,17,031,010600,2943,66313,88705,-888888888
9,3590,17,031,010701,1603,70542,115009,-888888888
10,5148,17,031,010702,1915,52193,69800,-888888888
11,3927,17,031,020100,1679,57029,79204,-888888888
12,7203,17,031,020200,1989,117005,145964,-888888888
13,5432,17,031,020301,2215,73539,88883,-888888888
14,5201,17,031,020302,1736,84205,140519,-888888888
15,4256,17,031,020400,1669,76607,118311,-888888888
16,6646,17,031,020500,2221,43948,58212,-888888888
17,5868,17,031,020601,2058,61046,94407,-888888888
18,5343,17,031,020602,1602,83839,112157,-888888888
19,1728,17,031,020701,764,92024,115402,-888888888
20,8412,17,031,020702,2483,68897,82455,-888888888
21,5990,17,031,020801,2175,71953,90458,-888888888
22,8715,17,031,020802,2131,62212,88182,-888888888
23,6179,17,031,020901,2197,50243,74182,-888888888
24,4365,17,031,020902,1597,49432,62847,-888888888
25,3517,17,031,030101,2047,50696,60693,-888888888
26,3052,17,031,030102,1878,55067,72680,-888888888
27,2297,17,031,030103,1030,53684,69655,-888888888
28,3106,17,031,030104,991,45865,64903,-888888888
29,5554,17,031,030200,2575,91406,125297,-888888888
30,3642,17,031,030300,1490,64662,104818,-888888888
31,2822,17,031,030400,1278,97143,120554,-888888888
32,6344,17,031,030500,2983,109375,130086,-888888888
33,3771,17,031,030601,1883,51808,72628,-888888888
34,2305,17,031,030603,1360,54300,67235,-888888888
35,2921,17,031,030604,2109,49816,77457,-888888888
36,1509,17,031,030701,877,47614,69334,-888888888
37,2266,17,031,030702,1514,69050,98687,-888888888
38,3093,17,031,030703,1914,56667,83375,-888888888
39,2588,17,031,030706,1882,54143,86080,-888888888
