,CensusTract,LowIncomeTracts_2010,LowIncomeTracts_2015,LowIncomeTracts_2019,LATracts_half_2010,LATracts_half_2015,LATracts_half_2019,lapophalfshare_2010,lapophalfshare_2015,lapophalfshare_2019,lapophalf_2010,lapophalf_2015,lapophalf_2019
0,17001000100,0,0,1,1,1,1,0.439080774,0.40458204,0.4046,2031.626743,1872.001099,1872.0
1,17001000201,1,1,1,1,1,1,0.899112927,0.569146739,0.5690999999999999,1785.638274,1130.325424,1130.0
2,17001000202,0,1,1,1,1,1,0.501488081,0.402364663,0.40240000000000004,1503.962755,1206.691625,1207.0
3,17001000400,1,1,1,1,1,1,0.499750448,0.743910474,0.7439,2159.921435,3215.18107,3215.0
4,17001000500,1,1,1,1,1,1,0.542527296,0.542527296,0.5425,1267.886292,1267.886292,1268.0
5,17001000600,0,0,0,1,1,1,0.537131981,0.537131981,0.5371,1997.056704,1997.056704,1997.0
6,17001000700,1,1,1,1,1,1,0.563911615,0.563911615,0.5639,835.1531015,835.1531015,835.0
7,17001000800,1,1,1,0,0,0,0.154797887,0.154797887,0.1548,419.657072,419.657072,420.0
8,17001000900,1,1,1,1,1,1,0.329505247,0.329505247,0.3295,847.8170001,847.8170001,848.0
9,17001001001,1,0,0,1,1,1,0.767164107,0.767164107,0.7672,2601.453487,2601.453487,2601.0
10,17001001002,0,0,0,1,1,1,0.485119323,0.485119323,0.4851,1563.539579,1563.539579,1564.0
11,17001001100,0,0,0,1,1,1,0.933700991,0.907952286,0.9079999999999999,6775.868089,6589.009742,6589.0
12,17001010100,1,1,0,1,0,0,1.000000003,1.000000003,1.0,4451.000014,4451.000014,4451.0
13,17001010200,1,1,1,1,0,0,0.830748546,0.830748546,0.8306999999999999,3090.384589,3090.384589,3090.0
14,17001010300,0,0,0,1,0,0,1.0,1.0,1.0,5890.000002,5890.000002,5890.0
15,17001010400,0,0,0,1,0,0,0.998163007,0.998163007,0.9982,3546.473163,3546.473163,3546.0
16,17001010500,0,0,0,1,1,1,0.999999987,0.999999987,1.0,2988.999961,2988.999961,2989.0
17,17001010600,0,0,0,1,0,0,0.995511517,0.995511517,0.9954999999999999,5848.630165,5848.630165,5849.0
18,17003957600,1,1,1,1,0,0,0.999999997,0.999999997,1.0,2927.999992,2927.999992,2928.0
19,17003957700,1,1,1,1,0,0,0.999999999,0.999999999,1.0,2171.999999,2171.999999,2172.0
20,17003957800,1,1,1,1,1,1,0.876964001,0.876964001,1.0,1340.000994,1340.000994,1528.0
21,17003957900,1,1,1,0,0,1,0.238413969,0.238413969,1.0,383.84649,383.84649,1610.0
22,17005951200,0,0,0,1,0,0,1.000000002,1.000000002,1.0,3216.000007,3216.000007,3216.0
23,17005951300,0,1,1,1,1,1,0.714602897,0.714602897,0.7145999999999999,4972.206957,4972.206957,4972.0
24,17005951400,0,0,0,1,0,0,0.998592866,0.998592866,0.9986,3141.573155,3141.573155,3142.0
25,17005951500,0,0,0,1,0,0,1.000000001,1.000000001,1.0,4448.000005,4448.000005,4448.0
26,17007010100,0,1,1,1,1,1,0.52322944,0.64067287,0.6406999999999999,4479.890463,5485.441112,5485.0
27,17007010200,0,1,1,1,1,1,0.401724767,0.836062072,0.8361,2452.529705,5104.158951,5104.0
28,17007010300,1,1,1,1,1,1,0.401044927,0.623166477,0.6232,2659.328909,4132.216911,4132.0
29,17007010400,0,0,0,1,1,1,0.868452071,0.868452071,0.8684999999999999,5941.080617,5941.080617,5941.0
30,17007010500,0,0,0,1,0,0,1.000000001,1.000000001,1.0,10185.00001,10185.00001,10185.0
31,17007010601,0,0,0,1,0,0,0.976508129,0.976508129,0.9842,3768.344868,3768.344868,3798.0
32,17007010602,0,0,0,1,1,1,0.896610506,0.896610506,0.927,10743.18708,10743.18708,11108.0
33,17009970400,1,0,0,1,0,0,0.999876639,0.997411903,0.9998,2605.678521,2599.255419,2606.0
34,17009970500,1,1,0,1,1,1,0.533294167,0.802215104,0.5643,2309.697038,3474.393615,2444.0
35,17011964700,0,0,0,1,0,0,0.999999998,0.999999998,1.0,3071.999994,3071.999994,3072.0
