,CensusTract,LowIncomeTracts,LATracts_half,lapophalfshare,lapophalf
0,1001020100,0,1,0.905975663,1732.225468
1,1001020200,0,1,0.649942317,1410.374828
2,1001020300,0,1,0.819627669,2764.604126
3,1001020400,0,1,0.974033791,4272.112205
4,1001020500,0,1,0.724409622,7798.99399
5,1001020600,0,1,0.965259344,3540.571275
6,1001020700,1,1,0.797076747,2304.348875
7,1001020801,0,1,0.999999995,3080.999986
8,1001020802,0,1,0.999999998,10434.99998
9,1001020900,0,1,1.0,5674.999998
10,1001021000,1,1,1.000000003,2894.000009
11,1001021100,0,1,1.0,3320.0
12,1003010100,0,1,1.000000005,3804.000021
13,1003010200,0,1,0.999999997,2901.999992
14,1003010300,0,1,0.99971522,7823.771308
15,1003010400,0,1,0.999999997,4735.999984
16,1003010500,0,1,0.72764366,3503.604222
17,1003010600,1,1,0.811136859,2697.030055
18,1003010701,0,1,0.905554319,7137.579139
19,1003010703,0,1,0.964476452,12698.29697
20,1003010704,0,1,1.000000002,5055.000011
21,1003010705,0,1,0.896138792,7465.732274
22,1003010800,0,1,0.854790915,5864.72047
23,1003010903,0,1,0.866642657,4483.142463
24,1003010904,1,1,0.973571897,6650.469627
25,1003010905,0,1,0.850049071,6809.74311
26,1003010906,0,1,0.953035508,4099.958757
27,1003011000,0,1,1.0,4305.000002
28,1003011101,0,1,0.7846033,6588.313913
29,1003011102,0,1,1.000000004,3715.000016
30,1003011201,0,1,0.62776203,2655.433387
31,1003011202,0,1,0.719900953,3646.298328
32,1003011300,0,1,1.0,4486.999998
33,1003011401,1,1,1.000000009,10632.0001
34,1003011403,0,1,0.969353304,8851.165015
35,1003011405,0,1,0.999921898,3831.700712
36,1003011406,0,1,0.77985002,2660.848267
37,1003011407,0,1,0.778402516,3735.553675
38,1003011408,0,1,1.00000001,433.0000044
39,1003011501,1,1,1.000000008,5316.000041
40,1003011502,1,1,0.87461586,9213.20347
41,1003011601,0,1,1.000000002,6062.000012
42,1003011602,0,1,1.000000005,4895.000025
43,1005950100,1,1,0.992557835,3296.284569
44,1005950200,1,1,0.879865751,3751.747563
45,1005950300,1,1,0.999999987,1637.999979
46,1005950400,1,1,1.0,4303.000001
47,1005950500,0,1,0.999999999,3466.999998
48,1005950600,1,1,0.748412032,1570.916855
49,1005950700,1,1,0.69173599,1194.628055
50,1005950800,0,1,0.570147379,1171.652864
51,1005950900,1,1,0.605959578,2777.112744
52,1007010001,0,1,0.995694018,2720.236057
53,1007010002,0,1,0.932251397,5616.814667
54,1007010003,0,1,0.999999994,5390.999968
55,1007010004,1,1,0.901488783,7903.352162
56,1009050101,0,1,0.998764108,7848.288361
57,1009050102,0,1,0.821497956,5791.560588
58,1009050200,0,1,0.919939928,3485.652389
59,1009050300,1,1,0.973242874,5128.016705
60,1009050400,1,1,0.99866987,4445.079593
61,1009050500,0,1,0.979160825,7176.269686
62,1009050601,0,1,1.000000009,3922.000034
63,1009050602,0,1,1.000000001,8923.000008
64,1009050700,0,1,1.000000007,8731.000063
65,1011952100,1,1,1.000000003,1434.000004
66,1011952200,1,1,0.788109031,5597.15034
67,1011952500,1,1,0.999999993,2377.999984
68,1013952700,1,1,0.660586099,1611.169495
69,1013952800,0,1,0.591186827,824.1144363
70,1013952900,1,1,0.944428518,2058.85417
71,1013953000,0,1,0.999999994,1468.999991
72,1013953100,1,1,0.808699663,2444.699081
73,1013953200,1,1,0.980054777,4240.697019
74,1013953300,0,1,1.000000005,1774.000009
75,1013953400,1,1,0.787403879,2307.880769
76,1013953500,1,1,1.000000005,1410.000006
77,1015000200,1,1,0.747841606,2321.300344
78,1015000300,1,1,0.387763165,1144.2891
79,1015000400,1,1,0.997224516,2804.195339
80,1015000500,1,1,0.904223178,1640.260845
81,1015000600,1,1,0.532328277,1166.331254
82,1015000700,1,1,0.703366356,1909.639657
83,1015000800,1,1,0.757120213,1044.068774
84,1015000900,0,1,0.999667534,3360.882248
85,1015001000,0,1,0.827555086,4793.199058
86,1015001100,0,1,0.930775359,6110.540235
87,1015001201,1,1,0.459708152,1600.703787
88,1015001202,1,1,0.983538877,4246.92087
89,1015001300,1,1,0.718372067,1588.320641
90,1015001400,1,1,0.999031594,3727.386878
91,1015001500,0,1,0.912123667,4741.218821
92,1015001600,1,1,0.78022081,2957.817089
93,1015001700,0,1,0.816146955,5165.394077
94,1015001800,0,1,0.999999997,6918.999976
95,1015002000,0,1,0.980308331,7190.561609
96,1015002101,1,1,0.952318387,3801.654999
97,1015002102,0,1,0.899067888,3066.720566
98,1015002103,1,1,0.639745788,4350.911102
99,1015002200,1,1,0.744094905,2717.434594
100,1015002300,1,1,0.654001444,2513.327548
101,1015002400,0,1,0.999999999,4517.999997
102,1015002501,1,1,0.915245254,6469.868701
103,1015002502,0,1,0.999999995,4660.999979
104,1015002600,0,1,1.000000002,4615.000007
