,CensusTract,LowIncomeTracts,LATracts_half,lapophalfshare,lapophalf
0,1001020100,0,1,100.0,1912.0
1,1001020200,1,1,100.0,2170.0
2,1001020300,0,1,84.7,2857.0
3,1001020400,0,1,83.24,3651.0
4,1001020500,0,1,72.25,7778.0
5,1001020600,1,1,100.0,3668.0
6,1001020700,1,1,79.12,2287.0
7,1001020801,0,0,100.0,3081.0
8,1001020802,0,0,99.0,10330.0
9,1001020900,0,0,97.79,5549.0
10,1001021000,1,0,100.0,2894.0
11,1001021100,1,0,100.0,3320.0
12,1003010100,1,0,100.0,3804.0
13,1003010200,1,0,100.0,2902.0
14,1003010300,0,0,99.72,7804.0
15,1003010400,0,0,100.0,4736.0
16,1003010500,0,1,72.55,3493.0
17,1003010600,1,1,81.11,2697.0
18,1003010701,0,1,78.7,6203.0
19,1003010703,0,0,95.73,12603.0
20,1003010704,0,1,99.53,5031.0
21,1003010705,0,1,85.77,7146.0
22,1003010800,0,1,78.07,5356.0
23,1003010903,0,0,86.66,4483.0
24,1003010904,0,0,97.36,6650.0
25,1003010905,0,0,87.32,6995.0
26,1003010906,1,1,95.3,4100.0
27,1003011000,1,0,99.76,4295.0
28,1003011101,0,1,78.46,6588.0
29,1003011102,0,0,100.0,3715.0
30,1003011201,0,1,62.78,2655.0
31,1003011202,0,1,71.99,3646.0
32,1003011300,0,0,100.0,4487.0
33,1003011401,0,0,100.0,10632.0
34,1003011403,0,0,94.68,8645.0
35,1003011405,0,1,99.91,3828.0
36,1003011406,0,0,92.22,3146.0
37,1003011407,0,1,84.67,4063.0
38,1003011408,0,0,98.66,427.0
39,1003011501,0,1,100.0,5316.0
40,1003011502,1,1,87.46,9213.0
41,1003011601,0,0,100.0,6062.0
42,1003011602,1,0,100.0,4895.0
43,1005950100,1,0,99.26,3296.0
44,1005950200,1,0,96.46,4113.0
45,1005950300,1,0,100.0,1638.0
46,1005950400,1,0,100.0,4303.0
47,1005950500,0,0,100.0,3467.0
48,1005950600,1,0,77.6,1629.0
49,1005950700,1,0,80.85,1396.0
50,1005950800,1,1,57.01,1172.0
51,1005950900,1,1,59.97,2748.0
52,1007010001,0,0,100.0,2732.0
53,1007010002,0,0,94.21,5676.0
54,1007010003,0,0,100.0,5391.0
55,1007010004,1,0,82.01,7190.0
56,1009050101,1,0,99.87,7848.0
57,1009050102,0,1,77.04,5432.0
58,1009050200,0,0,91.99,3486.0
59,1009050300,1,0,96.65,5093.0
60,1009050400,0,0,99.87,4445.0
61,1009050500,0,0,97.92,7176.0
62,1009050601,0,0,100.0,3922.0
63,1009050602,0,0,100.0,8923.0
64,1009050700,1,0,98.59,8608.0
65,1011952100,1,0,100.0,1434.0
66,1011952200,1,1,88.08,6256.0
67,1011952500,0,0,100.0,2378.0
68,1013952700,1,0,75.43,1840.0
69,1013952800,0,1,52.32,729.0
70,1013952900,1,0,94.8,2067.0
71,1013953000,1,0,100.0,1469.0
72,1013953100,1,1,80.87,2445.0
73,1013953200,1,0,98.01,4241.0
74,1013953300,0,0,100.0,1774.0
75,1013953400,1,0,71.35,2091.0
76,1013953500,1,0,100.0,1410.0
77,1015000200,1,1,49.62,1540.0
78,1015000300,1,1,68.42,2019.0
79,1015000400,1,1,99.99,2812.0
80,1015000500,1,1,100.0,1814.0
81,1015000600,1,1,99.56,2181.0
82,1015000700,1,1,69.02,1874.0
83,1015000800,1,1,94.35,1301.0
84,1015000900,1,1,100.0,3362.0
85,1015001000,0,1,80.33,4653.0
86,1015001100,0,1,83.16,5459.0
87,1015001201,1,1,47.79,1664.0
88,1015001202,0,1,98.35,4247.0
89,1015001300,1,1,71.84,1588.0
90,1015001400,0,0,99.9,3727.0
91,1015001500,1,1,87.75,4561.0
92,1015001600,1,1,88.17,3343.0
93,1015001700,0,1,89.58,5669.0
94,1015001800,0,1,99.96,6916.0
95,1015002000,0,0,96.04,7044.0
96,1015002101,1,1,99.82,3985.0
97,1015002102,0,1,97.4,3322.0
98,1015002103,1,1,63.93,4348.0
99,1015002200,0,1,73.95,2700.0
100,1015002300,1,0,72.68,2793.0
101,1015002400,0,0,100.0,4518.0
102,1015002501,0,0,91.52,6470.0
103,1015002502,0,0,100.0,4661.0
104,1015002600,0,0,99.28,4582.0
105,1015981901,0,0,100.0,6.0
106,1015981902,0,0,100.0,5.0
107,1017953800,1,0,100.0,3619.0
108,1017953900,0,0,63.54,1843.0
109,1017954000,0,0,83.38,5561.0
110,1017954200,0,0,100.0,3257.0
111,1017954300,0,0,94.76,4461.0
112,1017954400,1,1,77.98,776.0
113,1017954500,1,1,64.87,2468.0
114,1017954600,1,1,72.23,2464.0
115,1017954700,0,1,92.01,4464.0
116,1019955701,0,0,83.48,2781.0
117,1019955702,1,0,100.0,3872.0
118,1019955800,0,0,100.0,5561.0
119,1019955900,1,0,97.57,4132.0
120,1019956000,0,1,96.73,3886.0
121,1019956100,0,0,100.0,4972.0
122,1021060101,1,0,85.35,4454.0
123,1021060102,1,1,83.38,5255.0
124,1021060200,1,0,100.0,2807.0
125,1021060300,0,0,100.0,3808.0
126,1021060401,0,0,94.76,5179.0
127,1021060402,1,0,98.25,8622.0
128,1021060500,1,0,95.4,2769.0
129,1021060600,0,0,100.0,3261.0
130,1021060700,1,0,100.0,5101.0
131,1023956700,1,0,100.0,3184.0
132,1023956800,1,0,89.43,3956.0
133,1023956900,0,0,99.72,3868.0
134,1023957000,1,0,100.0,2373.0
135,1025957500,1,0,100.0,1760.0
136,1025957601,1,0,100.0,998.0
137,1025957602,0,1,81.83,4513.0
138,1025957700,1,0,100.0,1329.0
139,1025957800,1,0,94.56,5190.0
140,1025957901,1,0,95.11,3322.0
141,1025957902,1,1,91.46,3869.0
142,1025958001,1,0,100.0,1289.0
143,1025958002,1,0,100.0,1731.0
144,1027958900,0,0,82.63,4399.0
145,1027959000,1,0,80.31,2589.0
146,1027959100,0,0,100.0,2904.0
147,1027959200,1,0,100.0,2480.0
148,1029959500,1,0,100.0,2684.0
149,1029959600,1,0,68.41,2874.0
150,1029959700,0,0,100.0,3419.0
151,1029959800,0,0,100.0,4667.0
152,1031010100,1,0,100.0,2057.0
153,1031010200,0,0,100.0,1841.0
154,1031010300,0,0,100.0,4258.0
155,1031010400,0,0,99.99,2152.0
156,1031010500,1,0,82.72,3770.0
157,1031010600,1,0,100.0,1561.0
158,1031010700,0,0,100.0,2286.0
159,1031010800,0,0,100.0,2840.0
160,1031010900,1,0,52.19,1105.0
161,1031011000,0,1,94.26,3324.0
162,1031011100,1,0,3.05,62.0
163,1031011201,0,1,89.54,7195.0
164,1031011202,0,1,91.55,7809.0
