COUNT,ct_chicago,CA,community_name
1,17031010100,1,Rogers Park
2,17031010201,1,Rogers Park
3,17031010202,1,Rogers Park
4,17031010300,1,Rogers Park
5,17031010400,1,Rogers Park
6,17031010501,1,Rogers Park
7,17031010502,1,Rogers Park
8,17031010503,1,Rogers Park
9,17031010600,1,Rogers Park
10,17031010701,1,Rogers Park
11,17031010702,1,Rogers Park
12,17031020100,2,West Ridge
13,17031020200,2,West Ridge
14,17031020301,2,West Ridge
15,17031020302,2,West Ridge
16,17031020400,2,West Ridge
17,17031020500,2,West Ridge
18,17031020601,2,West Ridge
19,17031020602,2,West Ridge
20,17031020701,2,West Ridge
21,17031020702,2,West Ridge
22,17031020801,2,West Ridge
23,17031020802,2,West Ridge
24,17031020901,2,West Ridge
25,17031020902,2,West Ridge
26,17031030101,77,Edgewater
27,17031030102,77,Edgewater
28,17031030103,77,Edgewater
29,17031030104,77,Edgewater
30,17031030200,77,Edgewater
31,17031030300,77,Edgewater
32,17031030400,77,Edgewater
33,17031030500,77,Edgewater
34,17031030601,77,Edgewater
35,17031030603,77,Edgewater
36,17031030604,77,Edgewater
37,17031030701,77,Edgewater
38,17031030702,77,Edgewater
39,17031030703,77,Edgewater
40,17031030706,77,Edgewater
41,17031030800,77,Edgewater
42,17031030900,77,Edgewater
43,17031031000,3,Uptown
44,17031031100,3,Uptown
45,17031031200,3,Uptown
46,17031031300,3,Uptown
47,17031031400,3,Uptown
48,17031031501,3,Uptown
49,17031031502,3,Uptown
50,17031031700,3,Uptown
51,17031031800,3,Uptown
52,17031031900,3,Uptown
53,17031032100,3,Uptown
54,17031040100,4,Lincoln Square
55,17031040201,4,Lincoln Square
56,17031040202,4,Lincoln Square
57,17031040300,4,Lincoln Square
58,17031040401,4,Lincoln Square
59,17031040402,4,Lincoln Square
60,17031040600,4,Lincoln Square
61,17031040700,4,Lincoln Square
62,17031040800,4,Lincoln Square
63,17031040900,4,Lincoln Square
64,17031050100,5,North Center
65,17031050200,5,North Center
66,17031050300,5,North Center
67,17031050500,5,North Center
68,17031050600,5,North Center
69,17031050700,5,North Center
70,17031050800,5,North Center
71,17031050900,5,North Center
72,17031051000,5,North Center
73,17031051100,5,North Center
74,17031051200,5,North Center
75,17031051300,5,North Center
76,17031051400,5,North Center
77,17031060100,6,Lake View
78,17031060200,6,Lake View
79,17031060300,6,Lake View
80,17031060400,6,Lake View
81,17031060500,6,Lake View
82,17031060800,6,Lake View
83,17031060900,6,Lake View
84,17031061000,6,Lake View
85,17031061100,6,Lake View
86,17031061200,6,Lake View
87,17031061500,6,Lake View
88,17031061800,6,Lake View
89,17031061901,6,Lake View
90,17031061902,6,Lake View
91,17031062000,6,Lake View
92,17031062100,6,Lake View
93,17031062200,6,Lake View
94,17031062300,6,Lake View
95,17031062400,6,Lake View
96,17031062500,6,Lake View
97,17031062600,6,Lake View
98,17031062700,6,Lake View
99,17031062800,6,Lake View
100,17031062900,6,Lake View
101,17031063000,6,Lake View
102,17031063100,6,Lake View
103,17031063200,6,Lake View
104,17031063301,6,Lake View
105,17031063302,6,Lake View
106,17031063303,6,Lake View
107,17031063400,6,Lake View
108,17031070101,7,Lincoln Park
109,17031070102,7,Lincoln Park
110,17031070103,7,Lincoln Park
111,17031070200,7,Lincoln Park
112,17031070300,7,Lincoln Park
113,17031070400,7,Lincoln Park
114,17031070500,7,Lincoln Park
115,17031070600,7,Lincoln Park
116,17031070700,7,Lincoln Park
117,17031071000,7,Lincoln Park
118,17031071100,7,Lincoln Park
119,17031071200,7,Lincoln Park
120,17031071300,7,Lincoln Park
121,17031071400,7,Lincoln Park
122,17031071500,7,Lincoln Park
123,17031071600,7,Lincoln Park
124,17031071700,7,Lincoln Park
125,17031071800,7,Lincoln Park
126,17031080100,8,Near North Side
127,17031080201,8,Near North Side
128,17031080202,8,Near North Side
129,17031080300,8,Near North Side
130,17031080400,8,Near North Side
131,17031081000,8,Near North Side
132,17031081100,8,Near North Side
133,17031081201,8,Near North Side
134,17031081202,8,Near North Side
135,17031081300,8,Near North Side
136,17031081401,8,Near North Side
137,17031081402,8,Near North Side
138,17031081403,8,Near North Side
139,17031081500,8,Near North Side
140,17031081600,8,Near North Side
141,17031081700,8,Near North Side
142,17031081800,8,Near North Side
143,17031081900,8,Near North Side
144,17031090100,9,Edison Park
145,17031090200,9,Edison Park
146,17031090300,9,Edison Park
147,17031100100,10,Norwood Park
148,17031100200,10,Norwood Park
149,17031100300,10,Norwood Park
150,17031100400,10,Norwood Park
151,17031100500,10,Norwood Park
152,17031100600,10,Norwood Park
153,17031100700,10,Norwood Park
154,17031110100,11,Jefferson Park
155,17031110200,11,Jefferson Park
156,17031110300,11,Jefferson Park
157,17031110400,11,Jefferson Park
158,17031110501,11,Jefferson Park
159,17031110502,11,Jefferson Park
160,17031120100,12,Forest Glen
161,17031120200,12,Forest Glen
162,17031120300,12,Forest Glen
163,17031120400,12,Forest Glen
164,17031130100,13,North Park
165,17031130200,13,North Park
166,17031130300,13,North Park
167,17031140100,14,Albany Park
168,17031140200,14,Albany Park
169,17031140301,14,Albany Park
170,17031140302,14,Albany Park
171,17031140400,14,Albany Park
172,17031140500,14,Albany Park
173,17031140601,14,Albany Park
174,17031140602,14,Albany Park
175,17031140701,14,Albany Park
176,17031140702,14,Albany Park
177,17031140800,14,Albany Park
178,17031150200,15,Portage Park
179,17031150300,15,Portage Park
180,17031150401,15,Portage Park
181,17031150402,15,Portage Park
182,17031150501,15,Portage Park
183,17031150502,15,Portage Park
184,17031150600,15,Portage Park
185,17031150700,15,Portage Park
186,17031150800,15,Portage Park
187,17031151001,15,Portage Park
188,17031151002,15,Portage Park
189,17031151100,15,Portage Park
190,17031151200,15,Portage Park
191,17031160100,16,Irving Park
192,17031160200,16,Irving Park
193,17031160300,16,Irving Park
194,17031160400,16,Irving Park
195,17031160501,16,Irving Park
196,17031160502,16,Irving Park
197,17031160601,16,Irving Park
198,17031160602,16,Irving Park
199,17031160700,16,Irving Park
200,17031160800,16,Irving Park
201,17031160900,16,Irving Park
202,17031161000,16,Irving Park
203,17031161100,16,Irving Park
204,17031161200,16,Irving Park
205,17031161300,16,Irving Park
206,17031170100,17,Dunning
207,17031170200,17,Dunning
208,17031170300,17,Dunning
209,17031170400,17,Dunning
210,17031170500,17,Dunning
211,17031170600,17,Dunning
212,17031170700,17,Dunning
213,17031170800,17,Dunning
214,17031170900,17,Dunning
215,17031171000,17,Dunning
216,17031171100,17,Dunning
217,17031180100,18,Montclare
218,17031190100,19,Belmont Cragin
219,17031190200,19,Belmont Cragin
220,17031190300,19,Belmont Cragin
221,17031190401,19,Belmont Cragin
222,17031190402,19,Belmont Cragin
223,17031190601,19,Belmont Cragin
224,17031190602,19,Belmont Cragin
225,17031190701,19,Belmont Cragin
226,17031190702,19,Belmont Cragin
227,17031190800,19,Belmont Cragin
228,17031190900,19,Belmont Cragin
229,17031191000,19,Belmont Cragin
230,17031191100,19,Belmont Cragin
231,17031191200,19,Belmont Cragin
232,17031191301,19,Belmont Cragin
233,17031191302,19,Belmont Cragin
234,17031200100,20,Hermosa
235,17031200200,20,Hermosa
236,17031200300,20,Hermosa
237,17031200401,20,Hermosa
238,17031200402,20,Hermosa
239,17031210100,21,Avondale
240,17031210400,21,Avondale
241,17031210501,21,Avondale
242,17031210502,21,Avondale
243,17031210601,21,Avondale
244,17031210602,21,Avondale
245,17031210700,21,Avondale
246,17031210800,21,Avondale
